ChEMBLID;Smiles;Standard_Value;pChEMBL_Value
CHEMBL3728553;NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;2230;6.651695137
CHEMBL3729626;CCCCCCN(C)C(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;1330;6.876148359
CHEMBL3729543;CCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;720;7.142667504
CHEMBL3730609;O=C(NC1CC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;630;7.200659451
CHEMBL3729807;O=C(Nc1ccnn1-c1ccccc1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;700;7.15490196
CHEMBL3727426;COCCN(CCOC)C(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;240;7.619788758
CHEMBL3730881;CCn1nc(CCNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)cc1C;240;7.619788758
CHEMBL3732253;O=C(NCCCn1ccnc1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;90;8.045757491
CHEMBL3729293;CCN(CC)CCN(CC)C(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;76;8.119186408
CHEMBL3730279;CCSCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;37;8.431798276
CHEMBL3729500;O=C(NC1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;13;8.886056648
CHEMBL3730671;O=C(NCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;490;7.30980392
CHEMBL3730474;O=C(NC[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1)c1ccnn1-c1ccccc1;1120;6.950781977
CHEMBL3733047;CCCCC(=O)NC[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;1030;6.987162775
CHEMBL3729633;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2cccc(Br)c2)[C@@H]2C=C[C@H]1C21CC1;20600;5.68613278
CHEMBL3729966;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ncc(Cl)s2)[C@@H]2C=C[C@H]1C21CC1;1210;6.91721463
CHEMBL3728342;CC1CCC(NC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)CC1;710;7.148741651
CHEMBL3727655;CC(C)(C)OC(=O)N1CCCC(CCNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)C1;5520;6.258060922
CHEMBL3729343;CN1CCC(NC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)CC1;1470;6.832682665
CHEMBL3732895;COC(=O)CCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;220;7.657577319
CHEMBL3728062;CC(C)(C)OC(=O)N1CCCC(NC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)C1;180;7.744727495
CHEMBL3730991;CN(C)CCCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;82;8.086186148
CHEMBL3730902;CN(CCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1)C(=O)OC(C)(C)C;120;7.920818754
CHEMBL3731311;CC(C)(C)OC(=O)NCCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;110;7.958607315
CHEMBL3729352;CN1CCN(CCCNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)CC1;95;8.022276395
CHEMBL3731406;O=C(NCCCCO)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;96;8.017728767
CHEMBL3981311;Cc1nc(C(=O)Nc2cnn(Cc3nc(C(C)(C)O)co3)n2)c(-c2cccc(Cl)c2)o1;101;7.995678626
CHEMBL2391267;COc1ccc(Cc2cc(-c3ccc(Cl)cc3)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)cc1;500000;4.301029996
CHEMBL2391262;COc1cccc(Cc2cc(-c3cccs3)nn(CC(=O)Nc3ccc4c(c3)OCO4)c2=O)c1;500000;4.301029996
CHEMBL3983228;COc1cccc(-c2ocnc2C(=O)Nc2cnn(Cc3nc(C(C)(C)O)co3)n2)c1;172;7.764471553
CHEMBL3731370;NS(=O)(=O)c1ccc(CCNC(=O)[C@H]2[C@H](C(=O)NCCc3ccc(Cl)cc3)[C@@H]3C=C[C@H]2C32CC2)cc1;250000;4.602059991
CHEMBL4765025;COc1ccc(CC(NC(=O)Nc2ccc(Cl)cc2)C(=O)O)cc1;310;7.508638306
CHEMBL4778312;COc1ccc([C@@H]2NC(=O)[C@@H]2NC(=O)Nc2ccc(Cl)cc2)cc1;120;7.920818754
CHEMBL4783963;CCc1cc(F)c([C@@H]2CNC(=O)[C@H]2NC(=O)Nc2ccc(F)cc2)c(F)c1;58;8.236572006
CHEMBL4761554;COc1cc(F)c([C@@H]2CNC(=O)[C@H]2NC(=O)Nc2ccc(Br)cc2)c(F)c1;2;9.721246399
CHEMBL4755590;COc1cc(F)c([C@@H]2CNC(=O)[C@H]2NC(=O)Nc2ccc(F)c(O)c2)c(F)c1;1;10.06048075
CHEMBL4760897;COc1cc(F)c([C@@H]2CNC(=O)[C@H]2NC(=O)Nc2ccc(Cl)s2)c(F)c1;3;9.537602002
CHEMBL4778725;COc1cc(F)c([C@@H]2CNC(=O)[C@H]2NC(=O)Nc2cc(C)ns2)c(F)c1;3;9.494850022
CHEMBL4536334;CCCCC(C(=O)Nc1ccc(Cl)cc1)n1nc(C)cc(Cc2cccc(OC)c2OC)c1=O;617;7.20999648
CHEMBL379761;CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C;407;7.389978975
CHEMBL2391448;Cc1cc(N)c(=O)n(CC(=O)Nc2ccc(Br)cc2)n1;294000;4.53165267
CHEMBL2391440;Cc1cc(Cc2ccc(C(N)=O)cc2)c(=O)n(CC(=O)Nc2ccc(Br)cc2)n1;272000;4.565431096
CHEMBL250143;COc1ccc2[nH]c(C(=O)N3CCC(n4cnc5ccccc54)CC3)cc2c1;51000;5.292429824
CHEMBL377169;CC(C)c1c(NC(=O)Nc2ccccc2Cl)c(=O)n(-c2ccccc2)n1C;100000;5
CHEMBL249742;CCc1ccc2[nH]c(C(=O)N3CC[C@@H](n4c(CC)nc5ccccc54)C3)cc2c1;2700;6.568636236
CHEMBL400089;COc1ccc2[nH]c(C(=O)N3CCC(n4c(CC(C)C)nc5ccccc54)CC3)cc2c1;8300;6.080921908
CHEMBL250347;CCc1nc2ccccc2n1C1CCN(C(=O)c2cc3cc(OC)ccc3[nH]2)CC1;6900;6.161150909
CHEMBL562379;CCCCOc1ccc(NC(=O)Cn2nc(C)cc(Cc3ccc(Cl)cc3)c2=O)cc1;;#NUM!
CHEMBL551590;COc1cccc(Cc2cc(C)nn(CCC(=O)Nc3ccc(Br)cc3)c2=O)c1;118000;4.928117993
CHEMBL552396;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(F)cc3)c2=O)c1;82000;5.086186148
CHEMBL551589;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)c1;21000;5.677780705
CHEMBL556625;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(Cl)cc3)c2=O)c1;16000;5.795880017
CHEMBL551392;CCCCOc1ccc(C(=O)Nc2cc(C)nn(-c3ccccc3)c2=O)cc1;;#NUM!
CHEMBL2391447;COc1ccc(Nc2c(C(C)=O)c(C)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)cc1;17000;5.769551079
CHEMBL2391264;COc1ccc(Cc2cc(-c3ccc(OC)cc3)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)cc1;500000;4.301029996
CHEMBL2391258;COc1cccc(Cc2cc(-c3ccccc3)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)c1;43000;5.366531544
CHEMBL3590212;COC(=O)Nc1cccc(NC(=O)CSc2nc3cc(OC)ccc3[nH]2)c1;73000;5.13667714
CHEMBL3590208;O=C(Nc1ccc(Br)cc1)N[C@@H](Cc1ccccc1)C(=O)N1CCc2ccccc21;2500;6.602059991
CHEMBL3589947;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccnc(F)c3)CCCCC2)cc1;6600;6.180456064
CHEMBL3590072;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3cccnc3)CCCCC2)cc1;;#NUM!
CHEMBL3731893;CC(=O)c1coc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)n1;1700;6.769551079
CHEMBL3729805;CC(=O)N1CCN(CCCCNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)CC1;380;7.420216403
CHEMBL3729231;COC(=O)CCCC(=O)NC[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;880;7.055517328
CHEMBL3728025;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc3scnc3c2)[C@@H]2C=C[C@H]1C21CC1;100;8
CHEMBL3732566;CN1CCN(CCCNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3CC[C@H]2C32CC2)CC1;13;8.886056648
CHEMBL3731092;CC(C)(C)OC(=O)N1CC(NC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)C1;4770;6.321481621
CHEMBL3729866;CC(C)(C)CCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;1460;6.835647144
CHEMBL3730944;CCCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;340;7.468521083
CHEMBL3731599;Cc1nc(CCNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)[nH]c1C;190;7.721246399
CHEMBL3590071;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3cccnc3)CCCCC2)cc1;7300;6.13667714
CHEMBL2391438;Cc1cc(Cc2cccc3ccccc23)c(=O)n(CC(=O)Nc2ccc(Br)cc2)n1;500000;4.301029996
CHEMBL2391278;Cc1cc(Cc2ccccc2)c(=O)n(CC(=O)Nc2ccc(F)cc2)n1;500000;4.301029996
CHEMBL2391274;COc1cccc(Cc2cc(-c3ccc(F)cc3)nn(CC(=O)Nc3ccc4c(c3)OCO4)c2=O)c1;500000;4.301029996
CHEMBL2391273;COc1ccc(Cc2cc(-c3ccc(F)cc3)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)cc1;500000;4.301029996
CHEMBL2391271;COc1cccc(Cc2cc(-c3ccc(C)cc3)nn(CC(=O)Nc3ccc4c(c3)OCO4)c2=O)c1;500000;4.301029996
CHEMBL2391285;Cc1cc(Cc2ccoc2)c(=O)n(CC(=O)Nc2ccc(Br)cc2)n1;63000;5.200659451
CHEMBL564619;COc1cccc(Cc2cc(C)nn(CNC(=O)c3ccc(Br)cc3)c2=O)c1;;#NUM!
CHEMBL249338;CCc1nc2ccccc2n1[C@@H]1CCN(C(=O)c2cc3cc(F)ccc3[nH]2)C1;14900;5.826813732
CHEMBL401313;COc1ccc2[nH]c(C(=O)N3CCC(n4c(-c5ccccc5)nc5ccccc54)CC3)cc2c1;27100;5.567030709
CHEMBL251772;COc1ccc2[nH]c(C(=O)N3CCC(n4c(C(F)(F)F)nc5ccccc54)CC3)cc2c1;15200;5.818156412
CHEMBL3730490;O=C(NCCCCO)[C@H]1[C@H](C(=O)Nc2ncc(Br)s2)[C@@H]2CC[C@H]1C21CC1;800;7.096910013
CHEMBL212113;CCc1c(NC(=O)Nc2ccc(C)c(F)c2)c(=O)n(-c2ccccc2)n1C;3100;6.508638306
CHEMBL3960228;Cc1nc(C(=O)Nc2cnn(Cc3nc(C(C)(C)O)co3)n2)c(-c2cccc(C(F)(F)F)c2)o1;217;7.663540266
CHEMBL3906325;Cc1nc(C(=O)Nc2cnn(Cc3nc(C(C)(C)O)co3)n2)c(-c2cccc(OC(F)(F)F)c2)o1;323;7.490797478
CHEMBL3590073;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccccn3)CCCCC2)cc1;4300;6.366531544
CHEMBL4454321;CSCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(C)C)C(=O)O;190;7.721246399
CHEMBL4452346;COC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1CCCCC1;;#NUM!
CHEMBL3590214;COc1ccc2[nH]c(SCC(=O)Nc3ccccc3Cl)nc2c1;100000;5
CHEMBL377642;COc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1;27300;5.563837353
CHEMBL539401;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(C)cc3)c2=O)c1;9000;6.045757491
CHEMBL4169174;COc1ccc(NC(=O)N[C@H](Cc2ccc(C#N)cc2)C(=O)NCC2(c3ccc(OC(F)(F)F)cc3)CC2)cc1;;#NUM!
CHEMBL4162930;N#Cc1ccc(C[C@H](NC(=O)Nc2ccc(F)cc2)C(=O)NCC2(c3ccc(F)c(Cl)c3)CC2)cc1;1900;6.721246399
CHEMBL564392;COc1cccc(Cc2cc(C)nn(C(C)C(=O)Nc3ccc(Br)cc3)c2=O)c1;6000;6.22184875
CHEMBL380160;Cc1c(NC(=O)Nc2ccc(C(C)C)cc2)c(=O)n(-c2ccccc2)n1C;123000;4.910094889
CHEMBL564392;COc1cccc(Cc2cc(C)nn(C(C)C(=O)Nc3ccc(Br)cc3)c2=O)c1;;#NUM!
CHEMBL558114;COc1cccc(Cc2cc(C)nn(CCNC(=O)Nc3ccc(Br)cc3)c2=O)c1;;#NUM!
CHEMBL561375;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccccc3)c2=O)c1;6000;6.22184875
CHEMBL3589948;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccnc(F)c3)CCCCC2)cc1;;#NUM!
CHEMBL3590069;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccccc3)CCCCC2)cc1;;#NUM!
CHEMBL3589948;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccnc(F)c3)CCCCC2)cc1;;#NUM!
CHEMBL3590073;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccccn3)CCCCC2)cc1;18000;5.744727495
CHEMBL3728649;CN1CCN(CCCCNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)CC1;41;8.387216143
CHEMBL3732419;NC(=O)CNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;65;8.187086643
CHEMBL3728508;CC(=O)c1ccc(NC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)cc1;230;7.638272164
CHEMBL3731544;Cc1cc(C(=O)NC[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)nn1C;1150;6.93930216
CHEMBL3732748;COCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;160;7.795880017
CHEMBL3732504;O=C(NCCn1cncn1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;120;7.920818754
CHEMBL3731632;O=C(NCC1COCCO1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;95;8.022276395
CHEMBL3732404;NCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;14;8.853871964
CHEMBL3589946;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccc(OC)cn3)CCCCC2)cc1;2300;6.638272164
CHEMBL3590076;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccc(F)cc3)CCCCC2)cc1;;#NUM!
CHEMBL3590217;CCCCOc1ccc(C(=O)NN2Cc3ccccc3NC2c2ccc(OC)cc2)cc1;4700;6.327902142
CHEMBL3590213;CCOc1ccc2[nH]c(SCC(=O)Nc3ccccc3SC)nc2c1;80000;5.096910013
CHEMBL3728393;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2nc(Br)cs2)[C@@H]2C=C[C@H]1C21CC1;730;7.13667714
CHEMBL249537;CCc1nc2ccccc2n1[C@@H]1CCN(C(=O)c2cc3cc(Br)ccc3[nH]2)C1;8100;6.091514981
CHEMBL249339;CCc1nc2ccccc2n1[C@@H]1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)C1;141000;4.850780887
CHEMBL4454594;CCCCC(C(=O)Nc1ccc(Cl)cc1)n1nc(C)cc(Cc2ccccc2OC)c1=O;708;7.150028088
CHEMBL3727408;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(Cl)nc2)[C@@H]2C=C[C@H]1C21CC1;78;8.107905397
CHEMBL3728389;CC(C)(C)OC(=O)N1CCC(CNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)CC1;2040;6.690369833
CHEMBL549570;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(C(F)(F)F)cc3)c2=O)c1;19000;5.721246399
CHEMBL3732729;O=C(NC1CCCNC1)[C@H]1[C@H](C(=O)Nc2ncc(Br)s2)[C@@H]2CC[C@H]1C21CC1;91;8.040958608
CHEMBL3728708;CC(C)(C)OC(=O)CNc1cccc(CNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)c1;1940;6.71219827
CHEMBL3731677;Cc1nsc2cc(NC(=O)[C@H]3[C@H](C(=O)NCCCCN4CCCC4)[C@H]4C=C[C@@H]3C43CC3)ccc12;44200;5.354577731
CHEMBL3733092;CC(=O)c1csc(CNC(=O)[C@H]2[C@H](C(=O)NCCCc3nc4ccccc4[nH]3)[C@H]3C=C[C@@H]2C32CC2)n1;1060;6.974694135
CHEMBL3730133;O=C(NCCCCN1CCC[C@@H]1F)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;4;9.455931956
CHEMBL3729758;O=C(N[C@H]1CC[C@@H](CN2CCCC2)CC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;21;8.677780705
CHEMBL3731635;CN1CCCN(CCCCNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)CC1;9;9.050609993
CHEMBL3729434;O=C(NCCCCN1CCC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;4;9.397940009
CHEMBL3731221;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2ccc(I)cc2)[C@@H]2C=C[C@H]1C21CC1;420;7.37675071
CHEMBL3730664;Cc1nc(CCNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@H]3C=C[C@@H]2C32CC2)[nH]c1C;770;7.113509275
CHEMBL3732842;Cc1ccc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)c(C)c1;18000;5.744727495
CHEMBL3727792;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2cnc(Br)s2)[C@@H]2C=C[C@H]1C21CC1;2130;6.671620397
CHEMBL3727668;Cn1c(CCC(=O)NC[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)nc2ccccc21;3360;6.473660723
CHEMBL3732416;CCN(CC)CCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;800;7.096910013
CHEMBL3733253;COc1ccc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)c(F)c1F.O=CO;2900;6.537602002
CHEMBL562380;COc1ccc(Cc2cc(C)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)cc1;131000;4.882728704
CHEMBL552380;CCCCOc1ccc(NC(=O)Nc2cc(C)nn(-c3ccccc3)c2=O)cc1;;#NUM!
CHEMBL550239;COc1cccc(Cc2cc(C)nn(CC(=O)c3ccc(Br)cc3)c2=O)c1;;#NUM!
CHEMBL3728238;CC1CCC(C)N1CCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;21;8.677780705
CHEMBL3729899;Cc1ccc(CCNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)cc1C.O=CO;250000;4.602059991
CHEMBL3730257;COc1ccc(CCNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)cc1.O=CO;86100;5.064996849
CHEMBL3728722;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2cc(Cl)nc(Cl)c2)[C@@H]2C=C[C@H]1C21CC1;106000;4.974694135
CHEMBL3727975;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCCC2=CCCCC2)[C@@H]2C=C[C@H]1C21CC1;17400;5.759450752
CHEMBL3733207;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2cc(F)c(Br)cc2F)[C@@H]2C=C[C@H]1C21CC1;1030;6.987162775
CHEMBL3729427;CC(=O)c1csc(CNC(=O)[C@H]2[C@H](C(=O)NCCCN)[C@H]3C=C[C@@H]2C32CC2)n1;2730;6.563837353
CHEMBL3731163;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)nc2)[C@@H]2C=C[C@H]1C21CC1;14;8.853871964
CHEMBL3728536;COCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2CC[C@H]1C21CC1;48;8.318758763
CHEMBL3731705;COC[C@H](Cc1ccccc1)NC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;7350;6.133712661
CHEMBL3729615;CC(NC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1)C(=O)N1CCCCC1;1180;6.928117993
CHEMBL3728092;CCn1nc(C)cc1CCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;770;7.113509275
CHEMBL3732870;O=C(NCCc1ccccn1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;610;7.214670165
CHEMBL3730013;O=C(NCCCn1cncn1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;180;7.744727495
CHEMBL3729034;CN(C)CCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;96;8.017728767
CHEMBL3731600;O=C(NCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;120;7.920818754
